#ilkid,firstname,lastname,position,firstseason,lastseason,h_feet,h_inches,weight,college,birthdate
CLEAVMA01,Mateen,Cleaves,G,2000,2005,6,3,210,Michigan State University,1977-09-07
CLEMEJO01,John,Clemens,F,1965,1975,6,6,210,Ohio Wesleyan University,1943-05-01
CLIFTNA01,Nat,Clifton,C,1950,1957,6,6,220,Xavier University of Louisiana,1922-10-13
CLOSSBI01,Bill,Closs,F,1949,1951,6,5,195,Rice University,1922-01-08
CLOSSKE01,Keith,Closs,C,1997,1999,7,3,212,Central Connecticut State University,1976-04-03
CLOYDPA01,Paul,Cloyd,G,1949,1949,6,2,180,University of Wisconsin,1920-06-13
CLUGGMA01,Marion,Cluggish,C,1946,1946,6,10,235,University of Kentucky,1917-09-18
CLYDEBE01,Ben,Clyde,F,1974,1974,6,7,198,Florida State University,1951-06-10
COFFERI01,Richard,Coffey,G,1990,1990,6,6,212,University of Minnesota,1965-09-02
COFIEFR01,Fred,Cofield,G,1985,1986,6,3,190,Eastern Michigan University,1962-01-04
COKERJO01,John,Coker,C,1995,2000,7,0,253,Boise State University,1971-10-28
COLEMBE01,Ben,Coleman,F,1986,1993,6,9,235,University of Maryland,1961-11-14
COLEMDE01,Derrick,Coleman,F,1990,2004,6,10,230,Syracuse University,1967-06-21
COLEMEC01,E.c.,Coleman,F,1973,1978,6,8,225,Houston Baptist University,1950-09-25
COLEMJA01,Jack,Coleman,F,1949,1957,6,7,195,University of Louisville,1924-05-23
COLEMNO01,Norris,Coleman,F,1987,1987,6,8,210,Kansas State University,1961-09-27
COLESBI01,Bimbo,Coles,G,1990,2003,6,1,180,Virginia Polytechnic Institute,1968-04-22
COLLIJA02,Jason,Collier,F,2000,2004,7,0,260,Georgia Institute of Technology,1977-09-08
COLLIJA03,Jason,Collins,C,2001,2009,7,0,260,Stanford University,1978-12-02
COLLIJA04,Jarron,Collins,C,2001,2009,6,11,255,Stanford University,1978-12-02
COLLIJI01,Jimmy,Collins,G,1970,1971,6,2,175,New Mexico State University,1946-11-24
COLLIAR01,Art,Collins,G,1980,1980,6,4,185,St. Thomas University,1954-04-14
COLLIDO01,Doug,Collins,G,1973,1980,6,6,180,Illinois State University,1951-07-28
COLLIDO02,Don,Collins,G,1980,1986,6,6,190,Washington State University,1958-11-28
COLLIJA01,James,Collins,G,1997,1997,6,4,196,Florida State University,1973-11-05
COLLIMA01,Mardy,Collins,G,2006,2009,6,6,220,Temple University,1984-08-04
COLLIDA01,Darren,Collison,G,2009,2009,6,0,160,UCLA,1987-07-23
COLLINI01,Nick,Collison,F,2004,2009,6,9,255,University of Kansas,1980-10-26
COLONJO01,Joe,Colone,F,1948,1948,6,5,210,Bloomsburg University of Pennsylvania,1926-01-23
COLSOSE01,Sean,Colson,G,2000,2000,6,0,165,University of North Carolina at Charlotte,1975-07-01
COLTEST01,Steve,Colter,G,1984,1994,6,3,165,New Mexico State University,1962-07-24
COMBSGL01,Glen,Combs,G,1968,1974,6,2,185,Virginia Polytechnic Institute,1946-10-30
COMBSLE01,Leroy,Combs,F,1983,1983,6,8,210,Oklahoma State University,1961-01-01
COMEAJO01,John,Comeaux,F,1967,1967,6,5,193,Grambling State University,1943-09-15
COMEGDA01,Dallas,Comegys,C,1987,1988,6,9,205,DePaul University,1964-08-17
COMLELA01,Larry,Comley,G,1963,1963,6,5,210,Kansas State University,1939-08-17
CONGDJE01,Jeff,Congdon,G,1967,1971,6,1,180,Brigham Young University,1943-10-17
CONLEGE01,Gene,Conley,C,1952,1963,6,8,225,Washington State University,1930-11-10
CONLELA01,Larry,Conley,G,1967,1967,6,3,175,University of Kentucky,1944-01-22
CONLEMI01,Mike,Conley Jr.,G,2007,2009,6,1,180,Ohio State University,1987-10-11
CONLIED01,Ed,Conlin,F,1955,1961,6,5,200,Fordham University,1933-09-02
CONLOMA01,Marty,Conlon,C,1991,1999,6,10,224,Providence College,1968-01-19
CONNEJI01,Jimmy,Conner,G,1975,1975,6,4,190,University of Kentucky,1953-03-20
CONNELE01,Lester,Conner,G,1982,1994,6,4,180,Oregon State University,1959-09-17
CONNOCH01,Chuck,Connors,F,1946,1947,6,5,190,Seton Hall University,1921-04-10
CONROWI01,Will,Conroy,G,2006,2009,6,2,195,University of Washington,1982-12-08
COOKDA02,Daequan,Cook,G,2007,2009,6,5,210,Ohio State University,1987-04-28
COOKBR01,Brian,Cook,F,2003,2009,6,10,240,University of Illinois,1980-12-04
COOKOM01,Omar,Cook,G,2003,2004,6,1,190,Saint John's University,1982-01-28
COOKAN01,Anthony,Cook,F,1990,1995,6,9,205,University of Arizona,1967-03-19
COOKBE01,Bert,Cook,G,1954,1954,6,3,185,Utah State University,1929-04-26
COOKBO01,Bobby,Cook,G,1949,1949,5,10,155,University of Wisconsin,1923-04-01
COOKDA01,Darwin,Cook,G,1980,1988,6,3,184,University of Portland,1958-08-06
COOKJE01,Jeff,Cook,F,1979,1987,6,10,215,Idaho State University,1956-10-21
COOKNO01,Norm,Cook,F,1976,1977,6,8,210,University of Kansas,1955-03-21
COOKEDA01,David,Cooke,F,1985,1985,6,8,230,Saint Mary's College of California,1963-09-27
COOKEJO01,Joe,Cooke,G,1970,1970,6,3,175,Indiana University,1948-08-14
COOPECH01,Chuck,Cooper,F,1950,1955,6,5,210,Duquesne University,1926-09-29
COOPEDU01,Duane,Cooper,G,1992,1993,6,1,185,University of Southern California,1969-06-25
COOPEJO01,Joe,Cooper,C,1981,1984,6,10,230,Colorado University,1957-09-01
COOPEMI01,Michael,Cooper,G,1978,1989,6,5,170,University of New Mexico,1956-04-15
COOPEWA01,Wayne,Cooper,C,1978,1991,6,10,220,University of New Orleans,1956-11-16
COPATO01,Tom,Copa,F,1991,1991,6,10,275,Marquette University,1964-10-30
COPELHO01,Hollis,Copeland,F,1979,1981,6,6,180,Rutgers University,1955-12-20
COPELLA01,Lanard,Copeland,F,1989,1991,6,6,190,Georgia State University,1965-07-16
CORBITY01,Tyrone,Corbin,F,1985,2000,6,6,210,DePaul University,1962-12-31
CORCHCH01,Chris,Corchiani,G,1991,1993,6,0,185,North Carolina State University,1968-03-28
CORLEKE01,Ken,Corley,C,1946,1946,6,4.5,210,Oklahoma State Teachers,1921-05-10
CORLERA01,Ray,Corley,G,1949,1952,6,0,180,Georgetown University,1928-01-01
CORZIDA01,Dave,Corzine,C,1978,1990,6,11,250,DePaul University,1956-04-25
COSTELA01,Larry,Costello,G,1954,1967,6,1,186,Niagara University,1931-07-02
COTTOJA01,Jack,Cotton,F,1949,1949,6,7,200,University of Wyoming,1924-10-15
COTTOJA02,James,Cotton,G,1997,1998,6,5,220,California State University Long Beach,1975-12-14
COUGHJO01,John,Coughran,F,1979,1979,6,7,225,University of California Berkeley,1951-09-12
COUNTME01,Mel,Counts,C,1964,1975,7,0,230,Oregon State University,1941-10-16
COURTST01,Steve,Courtin,G,1964,1964,6,1,188,Saint Joseph's University,1942-09-21
COURTJO01,Joe,Courtney,F,1992,1996,6,8,235,University of Southern Mississippi,1969-10-17
COUSYBO01,Bob,Cousy,G,1950,1969,6,1,175,College of Holy Cross,1928-08-09
COWENDA01,Dave,Cowens,C,1970,1982,6,9,230,Florida State University,1948-10-25
COXJO01,Johnny,Cox,G,1962,1962,6,4,180,University of Kentucky,1936-11-01
COXJO02,John,Cox,G,1982,1982,6,2,180,University of San Francisco ,1955-12-29
COXWE01,Wesley,Cox,F,1977,1978,6,6,215,University of Louisville,1955-01-27
CRAWFCH01,Chris,Crawford,F,1997,2003,6,9,235,Marquette University,1975-05-13
CRAWFFR01,Fred,Crawford,G,1966,1970,6,4,189,Saint Bonaventure University,1941-12-23
CRAWFJA01,Jamal,Crawford,G,2000,2009,6,5,175,University of Michigan,1980-03-20
CRAWFJO01,Joe,Crawford,G,2008,2008,6,5,207,University of Kentucky,1986-06-17
CREIGJI01,Jim,Creighton,F,1975,1975,6,8,200,Colorado University,1950-04-18
CREVIRO01,Ron,Crevier,F,1985,1985,7,0,235,Boston College,1958-04-14
CRISLHA01,Hal,Crisler,F,1946,1946,6,3,215,Iowa State University,1923-12-31
CRISPJO01,Joe,Crispin,G,2001,2001,6,0,185,Pennsylvania State University,1979-07-18
CRISSCH01,Charlie,Criss,G,1977,1984,5,8,165,New Mexico State University,1948-11-06
CRITCRU01,Russ,Critchfield,G,1968,1968,5,10,150,University of California Berkeley,1946-06-27
CRITEWI01,Winston,Crite,F,1987,1988,6,7,233,Texas A&M University,1965-06-20
CRITTJA01,Javaris,Crittenton,G,2007,2008,6,5,198,Georgia Institute of Technology,1987-12-31
CROCKDI01,Dillard,Crocker,F,1948,1952,6,4,205,Western Michigan University,1925-01-19
CROFTBO01,Bobby,Croft,C,1970,1970,6,10,200,University of Tennessee,1947-08-10
CROMPJE01,Jeffrey,Crompton,C,1978,1983,6,11,280,University of North Carolina,1955-07-04
CROSBTE01,Terry,Crosby,G,1979,1979,6,4,195,University of Tennessee,1957-01-04
CROSHAU01,Austin,Croshere,F,1997,2008,6,9,235,Providence College,1975-05-01
CROSSJE01,Jeff,Cross,F,1985,1985,6,10,240,University of Maine,1961-09-01
CROSSPE01,Pete,Cross,C,1970,1972,6,9,230,University of San Francisco ,1948-03-28
CROSSRU01,Russell,Cross,C,1983,1983,6,10,215,Purdue University,1961-09-05
CROSSFR01,Francis,Crossin,G,1947,1949,6,1,165,University of Pennsylvania ,1924-07-04
CROTTJO01,John,Crotty,G,1992,2002,6,1,185,University of Virginia,1969-07-15
CROWBI01,Bill,Crow,G,1967,1967,6,1,180,Westminster College - UT,1940-12-09
CROWMA01,Mark,Crow,F,1977,1977,6,7,210,Duke University,1954-10-22
CROWDCO01,Corey,Crowder,F,1991,1994,6,5,214,Kentucky Wesleyan College,1969-04-13
CUETOAL01,Al,Cueto,C,1969,1970,6,7,230,University of Tulsa,1946-08-02
CUMMIPA01,Pat,Cummings,C,1979,1990,6,9,230,University of Cincinnati,1956-07-11
CUMMITE01,Terry,Cummings,F,1982,1999,6,9,220,DePaul University,1961-03-15
CUMMIVO01,Vonteego,Cummings,G,1999,2001,6,3,185,University of Pittsburgh,1976-02-29
CUNNIBI01,Billy,Cunningham,F,1965,1975,6,6,210,University of North Carolina,1943-06-03
CUNNIDI01,Dick,Cunningham,C,1968,1974,6,10,245,Murray State University,1946-07-11
CUNNIWI01,Willi,Cunningham,C,1997,1998,6,11,250,Temple University,1974-03-25
CUNNIDA01,Dante,Cunningham,F,2009,2009,6,8,220,Villanova,1987-04-22
CURCIRA01,Radisav,Curcic,C,1992,1992,6,10,275,NULL,1965-09-26
CUREAR01,Armand,Cure,F,1946,1946,6,0,198,University of Rhode Island,1919-08-01
CURETEA01,Earl,Cureton,F,1980,1996,6,9,210,University of Detroit Mercy,1957-09-03
CURLEBI01,Bill,Curley,F,1994,2000,6,9,220,Boston College,1972-05-29
CURRAFR01,Fran,Curran,G,1948,1949,6,0,175,University of Notre Dame,1925-09-19
CURRYDE01,Dell,Curry,G,1986,2001,6,4,190,Virginia Polytechnic Institute,1964-06-25
CURRYED01,Eddy,Curry,C,2001,2009,6,11,285,NULL,1982-12-05
CURRYMI01,Michael,Curry,G,1993,2004,6,5,210,Georgia Southern University,1968-08-12
CURRYJA01,JamesOn,Curry,F,2009,2009,6,3,190,Oklahoma St,1986-01-07
CURRYST01,Stephen,Curry,G,2009,2009,6,3,185,Davidson,1988-03-14
CVETKRA01,Rastko,Cvetkovic,C,1995,1995,7,1,260,NULL,1970-06-22
DANTMI01,Mike,D'antoni,G,1973,1976,6,3,185,Marshall University,1951-05-08
DABICMI01,Mike,Dabich,C,1967,1967,7,0,242,New Mexico State University,1942-12-27
DAHLEED01,Ed,Dahler,F,1951,1951,6,5,190,Duquesne University,1926-01-31
DAILEQU01,Quintin,Dailey,G,1982,1991,6,3,180,University of San Francisco ,1961-01-22
DALEMSA01,Samuel,Dalembert,C,2001,2009,6,11,250,Seton Hall University,1981-05-10
DALLMHO01,Howie,Dallmar,F,1946,1948,6,4,200,Stanford University,1922-05-24
DAMPIER01,Erick,Dampier,C,1996,2009,6,11,265,Mississippi State University,1974-07-14
DAMPILO01,Lou,Dampier,G,1967,1978,6,0,170,University of Kentucky,1944-11-20
DANDRBO01,Bob,Dandridge,F,1969,1981,6,6,195,Norfolk State University,1947-11-15
DANIEAN01,Antonio,Daniels,G,1997,2008,6,4,195,Bowling Green University,1975-03-19
DANIELL01,Lloyd,Daniels,G,1992,1997,6,7,205,Mt. San Antonio College,1967-09-04
DANIEME01,Mel,Daniels,C,1967,1976,6,9,220,University of New Mexico,1944-07-20
DANIEER01,Erik,Daniels,F,2004,2004,6,8,214,University of Kentucky,1982-04-01
DANIEMA01,Marquis,Daniels,G,2003,2009,6,6,200,Auburn University,1981-01-07
DANILPR01,Predrag,Danilovic,G,1995,1996,6,5,200,NULL,1970-02-26
DANTLAD01,Adrian,Dantley,F,1976,1990,6,5,208,University of Notre Dame,1956-02-28
DANTOMI01,Mike,Dantoni,G,1975,1975,NULL,NULL,NULL,NULL,NULL
DARCEHE01,Henry,Darcey,C,1952,1952,6,7,217,Oklahoma State University,1930-03-03
DARDEJI01,Jimmy,Darden,G,1949,1949,6,1,170,University of Denver,1922-06-19
DARDEOL01,Oliver,Darden,F,1967,1969,6,6.5,235,University of Michigan,1944-07-28
DAREYI01,Yinka,Dare,C,1994,1997,7,0,265,George Washington University,1972-10-10
DARKJE01,Jesse,Dark,G,1974,1974,6,4.5,210,Virginia Commonwealth University,1951-09-02
DARNERI01,Rick,Darnell,C,1975,1975,6,10,215,San Jose State University,1953-01-01
DARROJI01,Jimmy,Darrow,G,1961,1961,5,10,170,Bowling Green University,1937-09-25
DAUGHBR01,Brad,Daugherty,C,1986,1993,7,0,245,University of North Carolina,1965-10-19
DAUGHMA01,Mack,Daughtry,G,1970,1970,6,3,175,Albany State University,1947-01-01
DAVIDKO01,Kornel,David,F,1998,2000,6,9,235,NULL,1971-10-22
DAVIDJE01,Jermareo,Davidson,F,2007,2008,6,10,230,University of Alabama,1984-11-15
DAVIEBO01,Bob,Davies,G,1948,1954,6,1,175,Seton Hall University,1920-01-15
DAVISAN01,Antonio,Davis,F,1993,2005,6,9,215,University of Texas at El Paso,1968-10-31
DAVISAU01,Aubrey,Davis,G,1946,1946,6,2,175,Oklahoma Baptist University,1921-03-28
DAVISBA01,Baron,Davis,G,1999,2009,6,3,209,University of California - Los Angeles,1979-04-13
DAVISBE01,Ben,Davis,F,1996,1999,6,9,240,University of Arizona,1972-12-26
DAVISBI01,Bill,Davis,F,1946,1946,6,3,215,University of Notre Dame,1921-10-03
DAVISBO01,Bob,Davis,F,1972,1972,6,7,215,Weber State University,1950-04-02
DAVISBR01,Brad,Davis,G,1977,1991,6,3,180,University of Maryland,1955-12-17
DAVISBR02,Brian,Davis,F,1993,1993,6,7,200,Duke University,1970-06-21
DAVISCH01,Charlie,Davis,G,1971,1973,6,1.5,160,Wake Forest University,1949-09-07
DAVISCH02,Charlie,Davis,F,1981,1989,6,7,215,Vanderbilt University,1958-10-05
DAVISDA01,Dale,Davis,F,1991,2006,6,11,230,Clemson University,1969-03-25
DAVISDW01,Dwight,Davis,F,1972,1976,6,8,220,University of Houston,1949-10-28
DAVISED01,Edward,Davis,F,1972,1976,6,7,195,Duquesne University,1950-06-16
DAVISEM01,Emanual,Davis,G,1996,2002,6,4,195,Delaware State University,1968-08-27
DAVISHA01,Harry,Davis,F,1978,1979,6,7,220,Florida State University,1956-01-27
DAVISHU01,Hubert,Davis,G,1992,2003,6,5,183,University of North Carolina,1970-05-17
DAVISJA01,James,Davis,C,1955,1955,6,7,220,Saint John's University,1932-04-22
DAVISJI01,Jim,Davis,C,1967,1974,6,9,225,Colorado University,1941-12-18
DAVISJO01,Johnny,Davis,G,1976,1985,6,1.5,170,Univeristy of Dayton,1955-10-21
DAVISLE01,Lee,Davis,C,1968,1975,6,8,235,North Carolina Central University,1945-10-11
DAVISMA01,Mark,Davis,F,1995,1999,6,7,210,Texas Tech University,1973-04-26
DAVISME01,Mel,Davis,F,1973,1976,6,6,220,Saint John's University,1950-11-09
DAVISMI01,Mike,Davis,G,1969,1972,6,3,185,Virginia Union University,1946-07-26
DAVISMI02,Mickey,Davis,F,1971,1971,NULL,NULL,NULL,NULL,NULL
DAVISMI03,Michael,Davis,F,1982,1982,6,10,230,University of Maryland,1956-08-02
DAVISMO01,Monti,Davis,F,1980,1980,6,7,205,Tennessee State University,1958-07-26
DAVISRA01,Ralph,Davis,G,1960,1961,6,4,180,University of Cincinnati,1938-09-07
DAVISRI01,Ricky,Davis,G,1998,2009,6,6,195,University of Iowa,1979-09-23
DAVISRO01,Ron,Davis,G,1976,1981,6,6,198,Washington State University,1954-05-01
DAVISTE01,Terry,Davis,F,1989,2000,6,9,225,Virginia Union University,1967-06-17
DAVISWA01,Walt,Davis,C,1953,1957,6,8,205,Texas A&M University,1931-01-05
DAVISWA02,Warren,Davis,F,1967,1972,6,6,212,North Carolina A&T State University,1943-06-30
DAVISWA03,Walter,Davis,G,1977,1991,6,6,193,University of North Carolina,1954-09-09
DAVISWI01,Willie,Davis,C,1970,1970,6,8,234,University of North Texas,1945-08-09
DAVISGL01,Glen,Davis,F,2007,2009,6,9,289,Louisiana State University,1986-01-01
DAVISJO02,Josh,Davis,F,2003,2005,6,8,235,University of Wyoming,1980-08-10
DAVISPA01,Paul,Davis,C,2006,2009,6,11,270,Michigan State University,1984-07-21
DAVISMA02,Mark,Davis,F,1988,1988,6,6,195,Old Dominion University,1963-06-08
DAWKIDA01,Darryl,Dawkins,C,1975,1988,6,11,251,NULL,1957-01-11
DAWKIJO01,Johnny,Dawkins,G,1986,1994,6,2,165,Duke University,1963-09-28
DAWKIPA01,Paul,Dawkins,F,1979,1979,6,5,190,Northern Illinois University,1957-06-10
DAWSOJA01,James,Dawson,G,1967,1967,6,0,175,University of Illinois,1945-04-18
DAWSOTO01,Tony,Dawson,F,1990,1994,6,7,215,Florida State University,1967-08-25
DAYTO01,Todd,Day,G,1992,2000,6,6,188,University of Arkansas,1970-01-07
DAYEDA01,Darren,Daye,F,1983,1987,6,8,220,University of California - Los Angeles,1960-11-30
DAYEAU01,Austin,Daye,G,2009,2009,6,11,205,Gonzaga,1988-06-05
DEANEGR01,Greg,Deane,G,1979,1979,6,4,190,University of Utah,1957-12-06
DEANGBI01,Billy,Deangelis,G,1970,1970,6,1,180,Saint Joseph's University,1946-10-05
DEBUSDA01,Dave,Debusschere,F,1962,1973,6,6,220,University of Detroit Mercy,1940-10-16
DECLEAN01,Andrew,Declercq,C,1995,2004,6,10,230,University of Florida,1973-02-01
DEEDO01,Don,Dee,F,1968,1968,6,8,210,St. Mary of the Plains College,1943-08-09
DEESAR01,Archie,Dees,F,1958,1961,6,8,205,Indiana University,1936-02-22
DEHERTE01,Terry,Dehere,G,1993,1998,6,2,190,Seton Hall University,1971-09-12
DEHNEHE01,Henry,Dehnert,F,1946,1946,6,2.5,175,Columbia University,1924-01-01
DELNEVI01,Vinny,Del Negro,G,1988,2001,6,4,185,North Carolina State University,1966-08-09
DELEBI01,Bison,Dele,C,1991,1998,6,9,235,University of Arizona,1969-04-06
DELFICA01,Carlos,Delfino,G,2004,2009,6,6,230,NULL,1982-08-29
DELKTO01,Tony,Delk,G,1996,2005,6,1,189,University of Kentucky,1974-01-28
DELONNA01,Nate,Delong,C,1951,1951,6,6,220,University of Wisconsin - River Falls,1926-01-05
DEMBOFE01,Fennis,Dembo,F,1988,1988,6,5,215,University of Wyoming,1966-01-24
DEMICLA01,Larry,Demic,F,1979,1981,6,9,225,University of Arizona,1957-06-27
DEMPSDE01,Dell,Demps,G,1993,1996,6,3,205,Pacific University,1970-02-12
DEMPSGE01,George,Dempsey,G,1954,1958,6,2,190,King's College,1929-07-19
DENGLU01,Luol,Deng,G,2004,2009,6,8,220,Duke University,1985-04-16
DENNAKE01,Kenny,Dennard,F,1981,1983,6,8,220,Duke University,1958-10-18
DENNIBL01,Blaine,Denning,G,1952,1952,6,2,175,Lawrence Technological University,1930-09-19
DENTORA01,Randy,Denton,C,1971,1976,6,10,240,Duke University,1949-02-18
DEPREJO01,Joe,Depre,G,1970,1972,6,3,185,Saint John's University,1947-12-19
DERLIRO01,Rod,Derline,G,1974,1975,6,0,175,Seattle University,1952-03-11
DEROZDE01,DeMar,DeRozan,G,2009,2009,6,7,220,USC,1989-07-07
DEUTSDA01,Dave,Deutsch,G,1966,1966,6,1,170,University of Rochester,1945-05-13
DEVLIWA01,Walter,Devlin,G,1955,1957,6,5,195,George Washington University,1931-12-21
DEZONHA01,Hank,Dezonie,F,1950,1950,6,5.5,215,Clark Atlanta University,1922-02-12
DIALDE01,Derrick,Dial,G,1999,2003,6,4,184,Eastern Michigan University,1975-12-20
DIAWBO01,Boris,Diaw,G,2003,2009,6,8,203,NULL,1982-04-16
DIAWAYA01,Yakhouba,Diawara,F,2006,2009,6,7,225,Pepperdine University,1982-08-29
DIAZGU01,Guillermo,Diaz,G,2007,2007,6,2,192,University of Miami,1985-03-04
DICKADA01,Dan,Dickau,G,2002,2007,6,0,190,Gonzaga University,1978-09-16
DICKEKA01,Kaniel,Dickens,F,2003,2007,6,8,215,University of Idaho,1978-07-21
DICKEHE01,Henry,Dickerson,G,1975,1976,6,4,190,University of Charleston,1951-11-27
DICKEMI01,Michael,Dickerson,G,1998,2002,6,5,190,University of Arizona,1975-06-25
DICKECL01,Clyde,Dickey,G,1974,1974,6,3,185,Boise State University,1951-12-14
DICKEDE01,Derrek,Dickey,F,1973,1977,6,7,218,University of Cincinnati,1951-03-20
DICKEDI01,Dick,Dickey,G,1951,1951,6,1,175,North Carolina State University,1926-10-26
DICKSJO01,John,Dickson,C,1967,1967,6,10,240,Arkansas State,1945-11-18
DIENETR01,Travis,Diener,G,2005,2009,6,1,175,Marquette University,1982-03-01
DIERKCO01,Connie,Dierking,C,1958,1970,6,9,222,University of Cincinnati,1936-10-02
DIETRCO01,Coby,Dietrick,C,1970,1982,6,10,220,San Jose State University,1948-07-23
DIGREER01,Ernie,Digregorio,G,1973,1977,6,0,180,Providence College,1951-01-15
DILLCR01,Craig,Dill,C,1967,1967,6,11,215,University of Michigan,1944-12-17
DILLADU01,Wayne,Dillard,F,1975,1975,6,6,NULL,Eastern Michigan University,NULL
DILLAMI01,Mickey,Dillard,G,1981,1981,6,3,170,Florida State University,1958-10-15
DILLEBO01,Bob,Dille,F,1946,1946,6,3,190,Valparaiso University,1917-07-02
DILLOJO01,John,Dillon,F,1949,1949,6,3,180,University of North Carolina,1924-01-08
DINKIBY01,Byron,Dinkins,G,1989,1990,6,1,170,University of North Carolina at Charlotte,1967-06-15
DINKIJA01,Jackie,Dinkins,F,1971,1971,6,5,210,Voorhees College,1950-01-22
DINNEHA01,Harry,Dinnel,F,1967,1967,6,4,200,Pepperdine University,1941-01-01
DINWIBI01,Bill,Dinwiddie,F,1967,1971,6,7,220,New Mexico Highlands University,1943-07-15
DIOGUIK01,Ike,Diogu,C,2005,2008,6,8,250,Arizona State University,1983-09-11
DIOPDE01,Desagana,Diop,C,2001,2009,7,0,300,NULL,1982-01-30
DISCHTE01,Terry,Dischinger,F,1962,1972,6,7,189,Purdue University,1940-11-21
DIUTEFR01,Fred,Diute,G,1954,1954,6,3,210,Saint Bonaventure University,1929-01-09
DIVACVL01,Vlade,Divac,C,1989,2004,6,11,243,NULL,1968-02-03
DIXONJU01,Juan,Dixon,G,2002,2008,6,3,164,University of Maryland,1978-10-09
DJORDAL01,Aleksi,Djordjevic,G,1996,1996,6,2,198,NULL,1967-08-26
DODDEA01,Earl,Dodd,F,1949,1949,6,5,175,Truman State University,1924-11-01
DOLEAMI01,Michael,Doleac,C,1998,2007,6,11,262,University of Utah,1977-06-15
DOLHOJO01,Joe,Dolhon,G,1949,1950,6,0,175,New York University,1927-07-09
DOLLBO01,Bob,Doll,F,1946,1949,6,4.5,195,Colorado University,1919-08-10
DONALJA01,James,Donaldson,C,1980,1994,7,2,275,Washington State University,1957-08-16
DONHABO01,Bob,Donham,G,1950,1953,6,2,190,Ohio State University,1926-10-11
DONOVBI01,Billy,Donovan,G,1987,1987,5,11,171,Providence College,1965-05-30
DONOVHA01,Harry,Donovan,G,1949,1949,6,2,180,Muhlenberg College,1926-09-10
DOOLIKE01,Keyon,Dooling,G,2000,2009,6,3,196,University of Missouri,1980-05-08
DORSEJA01,Jacky,Dorsey,F,1977,1980,6,7,230,University of Georgia,1954-12-18
DORSERO01,Ron,Dorsey,G,1971,1971,6,4,200,Tennessee State University,1948-10-10
DORSEJO01,Joey,Dorsey,F,2008,2009,6,8,268,University of Memphis,1983-12-16
DOUBYQU01,Quincy,Douby,G,2006,2008,6,3,175,Rutgers University,1984-05-16
DOUGLTO01,Toney,Douglas,G,2009,2009,6,2,190,Florida St,1986-03-16
DOUGLBR01,Bruce,Douglas,G,1986,1986,6,3,195,University of Illinois,1964-04-09
DOUGLJO01,John,Douglas,G,1981,1982,6,2,170,University of Kansas,1956-06-12
DOUGLLE01,Leon,Douglas,C,1976,1982,6,10,230,University of Alabama,1954-08-26
DOUGLSH01,Sherman,Douglas,G,1989,2000,6,0,180,Syracuse University,1966-09-15
DOUGLCH01,Chris,Douglas-Roberts,G,2008,2009,6,7,200,University of Memphis,1987-01-08
DOVELL01,Lloyd,Dove,F,1967,1968,6,7,198,Saint John's University,1945-08-16
DOVESO01,Sonny,Dove,F,1969,1971,NULL,NULL,NULL,NULL,NULL
DOVERJE01,Jerry,Dover,G,1971,1971,5,7,155,LeMoyne-Owen College,1949-10-16
DOWNEBI01,Bill,Downey,C,1947,1947,6,6,210,Marquette University,1923-11-11
DOWNIST01,Steve,Downing,C,1973,1974,6,8,225,Indiana University,1950-09-09
DOYLEDA01,Danny,Doyle,F,1962,1962,6,8,200,Belmont Abbey College,1940-02-06
DOZIETE01,Terry,Dozier,F,1989,1989,6,9,210,University of South Carolina,1966-06-29
DRAGIGO01,Goran,Dragic,G,2008,2009,6,4,180,,1986-05-06
DREILGR01,Greg,Dreiling,C,1986,1996,7,1,250,University of Kansas,1963-11-07
DREWBR01,Bryce,Drew,G,1998,2003,6,2,185,Valparaiso University,1974-09-21
DREWJO01,John,Drew,F,1974,1984,6,6,205,Gardner-Webb University,1954-09-30
DREWLA01,Larry,Drew,G,1980,1990,6,1,170,University of Missouri,1958-04-02
DREXLCL01,Clyde,Drexler,G,1983,1997,6,7,210,University of Houston,1962-06-22
DRIGGNA01,Nate,Driggers,F,1996,1996,6,5,215,University of Montevallo,1973-10-12
DRISCTE01,Terry,Driscoll,F,1970,1974,6,7,215,Boston College,1947-08-28
DROBNPR01,Predrag,Drobnjak,C,2001,2004,6,11,270,NULL,1975-10-27
DROLLRA01,Ralph,Drollinger,C,1980,1980,7,2,250,University of California - Los Angeles,1954-04-20
DUCKEDI01,Dick,Duckett,G,1957,1957,6,1,185,Saint John's University,1933-03-25
DUCKWKE01,Kevin,Duckworth,C,1986,1996,7,0,275,Eastern Illinois University,1964-04-01
DUDLECH01,Charles,Dudley,G,1972,1978,6,2,180,University of Washington,1950-03-05
DUDLECH02,Chris,Dudley,C,1987,2002,6,11,235,Yale University,1965-02-22
DUDLEJA01,Jared,Dudley,F,2007,2009,6,7,225,Boston College,1985-07-10
DUEROTE01,Terry,Duerod,G,1979,1982,6,2,180,University of Detroit Mercy,1956-07-29
DUFFYBO01,Bob,Duffy,F,1946,1946,6,4,175,Tulane University,1922-07-05
DUFFYBO02,Bob,Duffy,G,1962,1964,6,3,185,Colgate University,1940-09-26
DUHONCH01,Chris,Duhon,G,2004,2009,6,1,193,Duke University,1982-08-31
DUKESWA01,Walter,Dukes,C,1955,1962,7,0,220,Seton Hall University,1930-06-23
